Designator,Mid X,Mid Y,Rotation,Layer
BAR1,85.2955,-110.9191,180.0,top
C1,69.6908,-20.0726,0.0,top
C10,88.8478,-44.3296,0.0,top
C11,23.0872,-60.3824,0.0,top
C12,41.4006,-62.5668,0.0,top
C13,56.92,-70.7348,90.0,top
C14,112.563,-74.2466,270.0,top
C15,82.0914,-69.7912,270.0,top
C16,112.183,-93.8766,90.0,top
C17,53.2878,-101.7336,0.0,top
C18,19.5312,-104.2736,270.0,top
C19,32.4598,-101.9876,0.0,top
C2,77.133,-20.098,0.0,top
C20,42.8738,-101.9876,0.0,top
C21,64.91,-110.15,270.0,top
C22,69.7216,-115.3988,270.0,top
C23,112.453,-107.1166,270.0,top
C24,94.58,-124.58,180.0,top
C3,108.1518,-19.6516,90.0,top
C4,63.1538,-22.2316,0.0,top
C5,28.6498,-29.8516,270.0,top
C6,83.2598,-21.2156,90.0,top
C7,48.2078,-25.2796,0.0,top
C8,111.8094,-49.2572,270.0,top
C9,78.6624,-44.0756,180.0,top
D1,53.5418,-37.4716,180.0,top
D2,23.9254,-20.733,270.0,top
D3,35.8634,-57.9186,90.0,top
D4,42.315,-57.9186,90.0,top
D5,112.0888,-27.972,270.0,top
J1,61.4258,-18.6506,90.0,top
J10,16.1276,-112.427,0.0,top
J11,78.4338,-66.6816,180.0,top
J12,16.2038,-102.2366,0.0,top
J2,36.5188,-18.9496,0.0,top
J3,89.3558,-20.4486,270.0,top
J4,31.1898,-21.9776,0.0,top
J5,25.3478,-34.4236,0.0,top
J6,70.3058,-47.1236,270.0,top
J7,97.7632,-72.2442,270.0,top
J8,16.2288,-93.3666,0.0,top
J9,97.306,-88.932,270.0,top
R1,90.3718,-15.2466,180.0,top
R10,88.8478,-52.1274,270.0,top
R11,91.3878,-52.1274,270.0,top
R12,93.9278,-52.1274,270.0,top
R13,96.4932,-52.1274,270.0,top
R14,99.0078,-52.1274,270.0,top
R15,101.5478,-52.1274,270.0,top
R16,104.0878,-52.1274,270.0,top
R17,106.6278,-52.1274,270.0,top
R18,58.3678,-47.8856,0.0,top
R19,80.4658,-55.5056,270.0,top
R2,48.9952,-17.9898,180.0,top
R20,77.6718,-55.5056,270.0,top
R21,83.2598,-55.5056,270.0,top
R22,53.4148,-57.4868,270.0,top
R23,50.3922,-57.4868,270.0,top
R24,47.3696,-57.483065,90.0,top
R25,112.603,-64.2266,270.0,top
R26,112.523,-84.0766,270.0,top
R27,94.64,-99.08,180.0,top
R28,16.583,-81.6466,270.0,top
R29,94.66,-101.97,180.0,top
R3,49.0206,-20.9616,0.0,top
R30,94.67,-104.81,180.0,top
R31,94.67,-107.65,180.0,top
R32,94.680867,-110.372653,180.0,top
R33,94.683762,-113.229319,180.0,top
R34,94.683762,-116.099319,180.0,top
R35,94.693762,-118.959319,180.0,top
R37,18.2866,-28.5054,90.0,top
R38,94.693762,-121.849319,180.0,top
R39,25.9066,-55.15,0.0,top
R4,73.4808,-23.1206,0.0,top
R40,25.9574,-52.0766,0.0,top
R41,112.1686,-33.1028,180.0,top
R42,56.412,-57.4868,270.0,top
R5,53.5418,-28.5816,270.0,top
R6,35.2792,-28.8864,90.0,top
R7,35.2538,-41.5864,270.0,top
R8,48.7158,-33.9156,90.0,top
R9,58.3678,-44.5836,0.0,top
RN1,97.6108,-94.1136,180.0,top
SW1,101.8526,-19.7678,0.0,top
U1,82.4978,-33.9156,270.0,top
U10,46.9378,-112.6556,0.0,top
U11,58.39,-116.34,0.0,top
U12,103.366,-111.441368,180.0,top
U2,41.8578,-37.7256,0.0,top
U3,67.2578,-79.6356,0.0,top
U4,97.6362,-64.4464,270.0,top
U5,97.687,-81.3882,270.0,top
U6,27.5576,-82.1756,180.0,top
U7,46.5314,-82.1756,180.0,top
U8,26.1098,-112.6302,0.0,top
U9,36.4984,-112.6556,0.0,top
Y1,73.5078,-15.8816,0.0,top
