Designator,Mid X,Mid Y,Rotation,Layer
BAR1,133.858,-139.954,180.0,top
C1,120.543,-42.037,0.0,top
C10,139.7,-66.294,0.0,top
C11,79.502,-77.724,0.0,top
C12,96.48,-82.042,0.0,top
C13,107.95,-92.71,90.0,top
C14,164.592,-99.314,270.0,top
C15,132.08,-97.282,270.0,top
C16,162.052,-119.34,270.0,top
C17,104.14,-123.698,0.0,top
C18,73.406,-123.952,0.0,top
C19,83.312,-123.952,0.0,top
C2,127.9852,-42.0624,0.0,top
C20,93.726,-123.952,0.0,top
C21,115.824,-132.374,270.0,top
C22,122.174,-143.764,270.0,top
C23,81.28,-149.86,0.0,top
C24,149.312,-155.448,180.0,top
C3,159.004,-41.616,90.0,top
C4,114.006,-44.196,0.0,top
C5,79.502,-51.816,270.0,top
C6,134.112,-43.18,90.0,top
C7,99.06,-47.244,0.0,top
C8,164.338,-73.914,270.0,top
C9,129.5,-65.786,180.0,top
D1,104.394,-59.436,180.0,top
D2,100.584,-153.162,0.0,top
D3,164.587,-54.301324,0.0,top
D4,164.587,-61.214,0.0,top
D5,164.587,-46.99,0.0,top
J1,112.278,-40.615,90.0,top
J10,67.056,-141.478,0.0,top
J11,129.286,-88.646,180.0,top
J2,87.371,-40.914,0.0,top
J3,140.208,-42.413,270.0,top
J4,82.042,-43.942,0.0,top
J5,76.2,-56.388,0.0,top
J6,121.158,-69.088,270.0,top
J7,148.6154,-99.06,270.0,top
J8,67.081,-115.331,0.0,top
J9,147.32,-119.38,270.0,top
R1,141.224,-37.211,180.0,top
R10,139.7,-74.549,270.0,top
R11,142.24,-74.549,270.0,top
R12,144.78,-74.549,270.0,top
R13,147.3454,-74.549,270.0,top
R14,149.86,-74.549,270.0,top
R15,152.4,-74.549,270.0,top
R16,154.94,-74.549,270.0,top
R17,157.48,-74.549,270.0,top
R18,109.22,-69.85,0.0,top
R19,131.318,-77.47,270.0,top
R2,100.33,-39.878,180.0,top
R20,128.524,-77.47,270.0,top
R21,134.366,-77.47,270.0,top
R22,103.886,-79.248,270.0,top
R23,106.68,-79.248,270.0,top
R24,99.822,-73.66,90.0,top
R25,164.592,-89.154,270.0,top
R26,165.1,-110.485,270.0,top
R27,146.05,-131.064,180.0,top
R28,66.802,-127.0,90.0,top
R29,146.05,-133.5786,180.0,top
R3,100.33,-42.926,0.0,top
R30,146.05,-136.144,180.0,top
R31,146.05,-138.684,180.0,top
R32,146.05,-141.224,180.0,top
R33,146.05,-143.764,180.0,top
R34,146.05,-146.304,180.0,top
R35,146.05,-148.844,180.0,top
R36,166.116,-143.764,90.0,top
R37,96.774,-148.336,0.0,top
R38,146.05,-151.384,180.0,top
R39,169.418,-53.764324,270.0,top
R4,124.333,-45.085,0.0,top
R40,169.418,-60.677,270.0,top
R41,169.418,-46.453,270.0,top
R5,104.394,-50.546,270.0,top
R6,86.1314,-50.8508,90.0,top
R7,86.106,-63.5508,270.0,top
R8,99.568,-55.88,90.0,top
R9,109.22,-66.548,0.0,top
RN1,148.59,-123.19,180.0,top
RN2,128.778,-105.41,90.0,top
SW1,152.7048,-41.7322,0.0,top
U1,133.35,-55.88,270.0,top
U10,97.79,-134.62,0.0,top
U11,109.22,-138.684,0.0,top
U12,158.75,-142.494,180.0,top
U2,92.71,-59.69,0.0,top
U3,118.11,-101.6,0.0,top
U4,148.59,-90.17,270.0,top
U5,149.86,-110.49,270.0,top
U6,78.4098,-104.14,180.0,top
U7,97.3836,-104.14,180.0,top
U8,76.962,-134.5946,0.0,top
U9,87.3506,-134.62,0.0,top
Y1,124.36,-37.846,0.0,top
